ENSG_ID	logFC	Fold.Change	AveExpr	t	P.Value	adj.P.Val	B	external_gene_id	description
ENSG00000095585	2.90080074168848	7.46840798640149	5.31725384826696	28.9672513026471	4.75001312621613e-09	4.77241052741654e-05	10.6917559520335	BLNK	B-cell linker [Source:HGNC Symbol;Acc:14211]
ENSG00000150687	-3.62349612491903	-12.3248324160038	5.78940021171303	-28.7655088826639	5.00672527005512e-09	4.77241052741654e-05	10.6585910709708	AP000654.2	Serine protease 23 Precursor (EC 3.4.21.-)(Putative secreted protein Zsig13) [Source:UniProtKB/Swiss-Prot;Acc:O95084]
ENSG00000107562	-2.66705831029393	-6.35132814780668	4.95378271864132	-25.6831508552842	1.17457002147647e-08	5.48689890061802e-05	10.0933524603905	CXCL12	chemokine (C-X-C motif) ligand 12 [Source:HGNC Symbol;Acc:10672]
ENSG00000179388	-4.96833382756783	-31.3052740909368	5.969024757625	-25.1359020667375	1.38089119523999e-08	5.48689890061802e-05	9.98023701436481	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:3240]
ENSG00000162891	-4.3106794367169	-19.8446668374556	4.99410554957342	-24.9981755844558	1.43907335832407e-08	5.48689890061802e-05	9.95109709850413	IL20	interleukin 20 [Source:HGNC Symbol;Acc:6002]
ENSG00000120833	1.82428974645321	3.54132621601299	7.47088644354724	23.8706366341769	2.03497218492123e-08	6.4657849555564e-05	9.70182731393434	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:19382]
ENSG00000164128	-1.86748600188844	-3.64896168383955	9.33563018783592	-22.537484336748	3.1310916220242e-08	8.52730438318133e-05	9.38052887141185	NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:7956]
ENSG00000074527	2.98207894934274	7.90123926331245	7.25066351726872	20.9571583259369	5.39532407852394e-08	0.000101597912901435	8.9575731279865	NTN4	netrin 4 [Source:HGNC Symbol;Acc:13658]
ENSG00000090238	1.5440862011246	2.91619299515307	7.80887378601652	20.7121934324119	5.89102183964164e-08	0.000101597912901435	8.88751337725553	YPEL3	yippee-like 3 (Drosophila) [Source:HGNC Symbol;Acc:18327]
ENSG00000129682	1.9211541492523	3.78725916484923	6.93708956628885	20.624071336799	6.08176812917256e-08	0.000101597912901435	8.86199733544525	FGF13	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:3670]
ENSG00000082175	-3.57714161787051	-11.9351237319774	5.28831654528922	-20.5380198084675	6.2747914246835e-08	0.000101597912901435	8.83691877876716	PGR	progesterone receptor [Source:HGNC Symbol;Acc:8910]
ENSG00000064042	1.48956669600792	2.80804624654115	4.53902451434791	20.4858548211236	6.39516866773613e-08	0.000101597912901435	8.8216374783421	LIMCH1	LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:29191]
ENSG00000167964	1.63437382942661	3.10452775443232	6.87404333597515	19.4904875896749	9.27564283332377e-08	0.000136023734595757	8.51827572719829	RAB26	RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:14259]
ENSG00000115641	-1.89875868683101	-3.72892217338988	4.90705272634983	-18.9056860221849	1.16407000714822e-07	0.000139061371780193	8.32903698043031	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:3703]
ENSG00000157303	-2.3104014956169	-4.96021101236942	7.37633716495033	-18.7090189799915	1.25837818059722e-07	0.000139061371780193	8.26345678332243	SUSD3	sushi domain containing 3 [Source:HGNC Symbol;Acc:28391]
ENSG00000138764	1.3086671152623	2.47712576228664	6.25791499292764	18.6557188226884	1.28540266856851e-07	0.000139061371780193	8.24551054506857	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:1593]
ENSG00000143556	-2.34434780339006	-5.07830766954383	9.94940763802694	-18.6191192568489	1.30433902267506e-07	0.000139061371780193	8.23314431529644	S100A7	S100 calcium binding protein A7 [Source:HGNC Symbol;Acc:10497]
ENSG00000143126	-1.42449472612697	-2.68420475414075	7.75078453431417	-18.6025775568467	1.31300078264974e-07	0.000139061371780193	8.22754366280657	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila) [Source:HGNC Symbol;Acc:3231]
ENSG00000168743	1.49354214952204	2.81579469769127	6.70258983213287	18.1874628054438	1.55316201222525e-07	0.00015243310581125	8.08460154589079	NPNT	nephronectin [Source:HGNC Symbol;Acc:27405]
ENSG00000109099	1.74085509210382	3.34233210663541	9.0572231353585	18.1162321538447	1.5991723228205e-07	0.00015243310581125	8.05960302967782	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:9118]
ENSG00000172379	1.7626034380161	3.39309879780817	6.57305348687234	17.9615708295187	1.70446959858474e-07	0.000154733373463903	8.00483922744459	ARNT2	aryl-hydrocarbon receptor nuclear translocator 2 [Source:HGNC Symbol;Acc:16876]
ENSG00000242265	-1.3631447439849	-2.57245304526048	7.27199263108245	-17.6086490021781	1.97537696806799e-07	0.000157755936786886	7.87733594316058	PEG10	paternally expressed 10 [Source:HGNC Symbol;Acc:14005]
ENSG00000119938	1.56726226369094	2.96341825899459	8.65423484541823	17.5399177380442	2.03361476433617e-07	0.000157755936786886	7.85208596919675	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C [Source:HGNC Symbol;Acc:9293]
ENSG00000075426	-1.33413855925884	-2.52124891722493	5.29139816187985	-17.5048019385602	2.06411570849599e-07	0.000157755936786886	7.83913185209988	FOSL2	FOS-like antigen 2 [Source:HGNC Symbol;Acc:3798]
ENSG00000131378	1.44689987133925	2.72621599797943	5.6486730075779	17.4994977940734	2.06876753025187e-07	0.000157755936786886	7.83717200884911	RFTN1	raftlin, lipid raft linker 1 [Source:HGNC Symbol;Acc:30278]
ENSG00000121552	1.52909946559121	2.88605634398164	8.60711183645677	17.2788626841418	2.27317037051279e-07	0.000161911178397646	7.75490749393188	CSTA	cystatin A (stefin A) [Source:HGNC Symbol;Acc:2481]
ENSG00000172575	-1.86562378481945	-3.64425467725645	4.98176490764839	-17.2585382407977	2.29311887155709e-07	0.000161911178397646	7.74725598802894	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated) [Source:HGNC Symbol;Acc:9878]
ENSG00000115290	1.26430609918704	2.40211646225226	8.2130821507663	17.0688536817859	2.48913254485474e-07	0.000169474367268253	7.67523903761488	GRB14	growth factor receptor-bound protein 14 [Source:HGNC Symbol;Acc:4565]
ENSG00000158270	1.76601455416277	3.40113095129439	3.69984892625515	16.5971374879909	3.06406086702282e-07	0.000193089618194362	7.49127494171373	COLEC12	collectin sub-family member 12 [Source:HGNC Symbol;Acc:16016]
ENSG00000181788	-1.19324390672673	-2.28666322889066	9.40417334260149	-16.591639375407	3.07159277310947e-07	0.000193089618194362	7.48908880484606	SIAH2	seven in absentia homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:10858]
ENSG00000165731	-1.49347418425934	-2.81566204892412	7.60566888929857	-16.5149373673436	3.17887633841628e-07	0.000193089618194362	7.45848807959528	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:9967]
ENSG00000099337	-1.29451455344113	-2.45294443437845	8.03632518102683	-16.4717649371819	3.24111822399265e-07	0.000193089618194362	7.44117942381179	KCNK6	potassium channel, subfamily K, member 6 [Source:HGNC Symbol;Acc:6281]
ENSG00000074410	-1.143811446829	-2.20964016158797	7.73745655998103	-16.0874952408883	3.86001630279618e-07	0.000222991972110625	7.28437838101745	CA12	carbonic anhydrase XII [Source:HGNC Symbol;Acc:1371]
ENSG00000100290	1.46093510889353	2.75286737893397	7.14774839721016	15.9798332341503	4.056593088603e-07	0.000225890288472018	7.23954599057771	BIK	BCL2-interacting killer (apoptosis-inducing) [Source:HGNC Symbol;Acc:1051]
ENSG00000168003	-1.21057135994311	-2.31429273081296	9.93918552466515	-15.8694610641035	4.26992602416304e-07	0.000225890288472018	7.19316649733662	SLC3A2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:HGNC Symbol;Acc:11026]
ENSG00000152137	-1.24452041599879	-2.36939777030165	10.0497295496464	-15.8504583227468	4.30791831720523e-07	0.000225890288472018	7.18513821924346	HSPB8	heat shock 22kDa protein 8 [Source:HGNC Symbol;Acc:30171]
